4	45																																											
1	0.47	0.009	1.80E-06	290	18	30	3	2.235	6.00E-03	3.3	6.00E-07	300	1.00E-12	5	2	1	1	1	0.05	0.003	0.022	0.25	0.4	220000	15	5	8.56E-09	1.80E-08	0.2	1.80E-08	0.2	1	5.34E-09	0.0000624	9.90E-01	0.1	0.95	0.55	800	10	1	1	1.00E-08	10
2	0.47	0.009	1.80E-06	290	18	30	3	2.235	6.00E-03	3.3	6.00E-07	300	1.00E-12	5	2	1	1	1	0.05	0.003	0.022	0.25	0.4	220000	300	15	8.56E-09	1.80E-08	0.2	1.80E-08	0.2	1	5.34E-09	0.0000624	8.50E-01	0.1	0.95	0.55	800	10	1	0	1.00E-08	10
3	0.47	0.009	1.80E-06	290	18	30	3	2.235	6.00E-03	3.3	6.00E-07	300	1.00E-12	5	2	1	1	1	0.05	0.003	0.022	0.25	0.4	220000	15	5	8.56E-09	1.80E-08	0.2	1.80E-08	0.2	1	5.34E-09	0.0000624	8.50E-01	0.1	0.95	0.55	800	10	1	1	1.00E-08	10
4	0.47	0.009	1.80E-06	290	18	30	3	2.235	6.00E-03	3.3	6.00E-07	300	1.00E-12	5	2	1	1	1	0.05	0.003	0.022	0.25	0.4	220000	15	5	8.56E-09	1.80E-08	0.2	1.80E-08	0.2	1	5.34E-09	0.0000624	7.00E-01	0.1	0.95	0.55	800	10	1	1	1.00E-08	10
numSpecs	NumParams																																											
SpeciesID	NPP/GPPRatio	gsmax	CanopyQuantumEffic	MaxForestAge	OptimalTemp	MaxTemp	MinTemp	FoliageAllocCoef_a	FoliageAllocCoef_b	StemAllocCoef_a	StemAllocCoef_b	gs_light_coeff	gs_vpd_coeff	gs_psi_d	gs_psi_c	VCnd_c	VCnd_d	VCnd_m	WiltingPnt	SpecificLeafArea	SpecificRootArea	Crown2StemDRat	TreeShapeParam	WoodDens	Fhdmax	Fhdmin	LeafTurnoverRate	MaxLeafTurnoverWaterStress	LeafTurnoverWaterStressParam	MaxLeafTurnoverTempStress	LeafTurnoverTempStressParam	ColdStressParam	RootTurnoverRate	MaxCanStorageParam	Throughfall_coeff 	albedo	emissivity	KBeers	CanopyWatEffic	Kroot	Aroot 	vegtype	DeadGrassLeafTurnoverRate	DeadGrassLeafTurnoverTempAdjustment

