StorAll	Snow	Intercp	Surface	Soil	SoilL1	SoilL2	SoilL3	RZW	GW	ET	EvapS	EvapI	EvapT	Leakage	SrfOut	GWOut	AllOut	SrftoCh	GWtoCh	Rchrge	Precip
-55.9188	-27.155	-48.3869	-nan	-39.8414	-55.9298	-30.2158	-55.3175	-56.9826	-49.6833	-56.9826	-70.5373	-70.5957	-1595.17	-nan	-41.6422	-nan	-27.1017	-56.9851	-28.0197	-nan	-56.9808	0	0
-55.9125	-nan	-48.3869	-nan	-45.0413	-55.9235	-29.9703	-55.3175	-56.9826	-49.6353	-56.9826	-111.882	-111.882	-542.869	-nan	-nan	-nan	-27.1017	-56.9851	-29.889	-nan	-56.9808	0	0
-55.8967	-nan	-48.3869	-nan	-43.2073	-55.9077	-29.3617	-55.3175	-56.9826	-49.5166	-56.9826	-111.708	-111.708	-193.055	-nan	-41.3984	-nan	-27.1017	-56.9851	-32.7128	-nan	-56.9809	0	0
-55.9029	-nan	-48.4011	-nan	-57.456	-55.9138	-29.4768	-55.3175	-56.9826	-49.5561	-56.9826	-31.0884	-29.222	-557.221	-46.5814	-40.1754	-nan	-27.1017	-56.9851	-27.3706	-nan	-56.9809	0	0
-55.9168	-nan	-48.4011	-nan	-71.8881	-55.9277	-29.86	-55.3175	-56.9826	-49.6527	-56.9826	-29.6141	-29.6141	-843.129	-nan	-nan	-nan	-27.1017	-56.985	-27.258	-nan	-56.9809	0	0
-55.9049	-108.433	-50.5237	-nan	-71.7245	-55.913	-29.602	-55.3175	-56.9826	-49.5582	-56.9826	-41.316	-nan	-nan	-nan	-41.316	-nan	-108.212	-56.985	-107.977	-nan	-56.9809	0	0
-55.6094	-124.687	-75.1177	-nan	-71.6524	-55.5664	-24.613	-54.2213	-56.9666	-47.3706	-56.9666	-89.5956	-nan	-nan	-94.3405	-40.7186	-nan	-124.482	-56.9724	-123.3	-nan	-56.9638	-0.0943908	0
-55.5912	-104.193	-75.8988	-nan	-74.8492	-55.5438	-25.1564	-53.9282	-56.9618	-47.271	-56.9618	-72.9689	-25.8497	-71.2423	-149.501	-37.1148	-nan	-104.004	-56.9685	-102.137	-nan	-56.9587	-0.0938851	0
-55.4141	-nan	-72.4057	-nan	-69.7261	-55.3689	-23.0903	-53.149	-56.9464	-46.1941	-56.9463	-124.843	-25.1442	-545.707	-345.664	-37.8775	-nan	1	-56.9561	-3.05198	-nan	-56.9425	-0.0925816	0
-55.3977	-nan	-69.1814	-nan	-67.8136	-55.3621	-22.9942	-53.1225	-56.9459	-46.1514	-56.9458	-125.21	-nan	-nan	-148.911	-35.6097	-nan	1	-56.9558	-6.7461	-nan	-56.9419	-0.0853922	0
