Precip(m3)	SWE(m3)	BCSurf(m3)	BCGW(m3)	Canopy(m3)	Surface(m3)	Channel(m3)	SoilW(m3)	SoilL1(m3)	SoilL2(m3)	SoilL3(m3)	RZW(m3)	GW(m3)	ET(m3)	EvapS(m3)	EvapC(m3)	EvapI(m3)	EvapT(m3)	Leakage(m3)	SrfOut(m3)	GWOut(m3)	SrftoCh	GWtoCh	Rchrge	SatExt	MBErr	2H_MBE
760206	0	477404	0	13225.5	0	1448.34	1.90752e+06	63693.2	243675	1.20013e+06	266061	400024	575679	129493	38712.5	82154.6	364031	0	522812	2588.68	80211.7	5356.49	288804	0.127698	1.52078e-14	34.0024
760206	0	479509	0	12985.7	0	1770.69	1.90674e+06	63351	243682	1.20013e+06	265725	399583	576358	129933	38823.8	82394.3	364031	0	524811	2596.78	80522.3	5374.32	288852	0.122302	7.59869e-15	34.0493
760206	0	482208	0	12797.6	0	2128.92	1.90613e+06	63170.3	243688	1.20013e+06	265549	399141	576792	130179	38886.6	82582.4	364031	0	527452	2604.89	80867.4	5392.15	288899	0.124101	7.592e-15	34.0875
760206	0	485901	0	12670	0	2590.4	1.90559e+06	63063	243696	1.20013e+06	265448	398704	577069	130328	38923.8	82710	364031	0	531025	2612.99	81228.6	5409.97	288949	0.127698	0	34.1289
760206	0	489411	0	12539.1	0	2644.37	1.90508e+06	62990.8	243691	1.20013e+06	265372	398270	577313	130393	38938.3	82841	364080	0	534857	2621.09	81600.9	5427.78	289002	0.127698	0	34.1805
760206	0	492855	0	12402.4	0	2589.41	1.90446e+06	62803.6	243688	1.20013e+06	265182	397836	577696	130599	38986.8	82977.7	364119	0	538676	2629.2	81952.1	5445.6	289054	0.127698	0	34.2257
760206	0	495780	0	12284	0	2370.22	1.90381e+06	62580.6	243695	1.20013e+06	264964	397402	578097	130881	39056	83096.1	364121	0	542111	2637.3	82294.3	5463.41	289105	0.129496	7.55855e-15	34.2839
760623	7.04731e-15	498643	0	12192.8	0	2293.42	1.90344e+06	62639.9	243702	1.20013e+06	265030	396970	578575	131197	39140.3	83257.7	364121	0	545355	2645.4	82664.1	5481.21	289156	0.129496	0	34.3382
760623	0	502109	0	12065	0	2485.69	1.90277e+06	62398.1	243714	1.20013e+06	264798	396534	579011	131505	39220.5	83385.6	364121	0	548897	2653.5	82995.7	5499.01	289204	0.125899	0	34.4
760623	0	505583	0	11940	0	2536.77	1.90215e+06	62200.2	243725	1.20013e+06	264609	396096	579399	131768	39293.7	83510.5	364121	0	552601	2661.61	83332	5516.81	289248	0.127698	0	34.4562
760623	0	508893	0	11836.2	0	2526.29	1.90161e+06	62090.8	243736	1.20013e+06	264509	395660	579656	131921	39335.1	83614.3	364121	0	556254	2669.71	83688	5534.6	289294	0.129496	-1.5051e-14	34.4983
760762	7.19978e-16	512127	0	11856.7	0	2540.96	1.90128e+06	62175	243749	1.20013e+06	264604	395228	579694	131956	39344.5	83617.4	364121	0	559870	2677.81	84076.5	5552.39	289343	0.129496	-7.5173e-15	34.5563
760762	0	515262	0	11843.5	0	2506.28	1.90083e+06	62143.6	243763	1.20013e+06	264584	394801	579752	131999	39356.3	83630.5	364123	0	563420	2685.91	84450.3	5570.17	289394	0.129496	0	34.6128
